"Campo Origen","Tipo Origen","Obligatorio Origen","Campo Destino","Tipo Destino","Obligatorio Destino","Regla de Transformación","Ejemplo Origen","Ejemplo Destino"
"origen","string","SI","sourceAccount","string","SI","Validar formato IBAN y convertir a formato interno del core","ES9121000418450200051332","ACCT123456789"
"destino","string","SI","targetAccount","string","SI","Validar formato IBAN y convertir a formato interno del core","ES8420805801101234567891","ACCT987654321"
"monto","number","SI","amount","decimal(15,2)","SI","Convertir a moneda base si es necesario y validar mínimo 0.01","150.75","150.75"
"moneda","string","SI","currency","char(3)","SI","Validar código ISO 4217","EUR","EUR"
"concepto","string","SI","description","varchar(140)","SI","Truncar a 140 caracteres si supera el límite","Pago factura luz","Pago factura luz"
"idCanal","string","SI","channelId","char(10)","SI","Mapear valor enumerado a código interno del core","MOVIL","MOB"
"Idempotency-Key","string","SI","idempotencyKey","char(36)","SI","Validar formato UUID v4","abc12345-6789-0abc-def0-123456789abc","abc12345-6789-0abc-def0-123456789abc"
"fechaRegistro","datetime","NO","registrationDate","timestamp","NO","Convertir a zona horaria UTC si es necesario","2023-10-01T14:30:00+02:00","2023-10-01 12:30:00"
"estado","string","NO","status","char(15)","NO","Mapear estado a código interno del core","PENDIENTE","PEND"
"codigoTransaccion","string","NO","transactionCode","char(15)","NO","Generar código único en formato TXN + 9 dígitos","TXN123456789","TXN123456789"
